date_time,capacity,state
1698037940,27735,Charging
1697979425,12405,Discharging
1697978524,14040,Discharging
1698067801,40005,Discharging
1698438307,33735,Discharging
1698642440,35895,Charging
1698545959,43725,Charging
1698719675,44805,Discharging
1697810068,40695,Discharging
1698550076,39810,Discharging
1698031069,35430,Discharging
1698376924,35745,Discharging
1698334711,16410,Discharging
1698657697,44340,Discharging
1698704039,45285,Discharging
1698811867,36630,Discharging
1697670647,25365,Discharging
1698456339,33315,Discharging
1697772135,54000,Discharging
1698735564,43215,Discharging
1698642446,35895,Charging
1698747219,39825,Discharging
1698656533,44385,Discharging
1698588690,23655,Discharging
1698549089,42000,Discharging
1698681576,54000,Charging
1698809117,40380,Discharging
1698728362,54000,Charging
1697817019,29295,Discharging
1697816871,29355,Discharging
1698722099,39495,Charging
1698738108,40905,Discharging
1698539877,54000,Charging
1698682608,54000,Discharging
1697713547,14430,Discharging
1698038818,33255,Charging
1698480198,41280,Charging
1698733743,44220,Discharging
1698554465,31080,Discharging
1698727543,54000,Discharging
1698379224,33270,Discharging
1698768838,9225,Charging
1697971668,18045,Discharging
1698631920,22710,Discharging
1698023187,54000,Discharging
1697723560,43890,Discharging
1698029516,35535,Discharging
1697978403,13290,Charging
1698659339,44280,Charging
1697678772,16800,Discharging
1698050162,54000,Discharging
1698376904,35610,Charging
1697982306,7500,Charging
1698037192,23235,Discharging
1698475280,10965,Discharging
1698642031,35985,Discharging
1698682179,54000,Charging
1698733282,45000,Discharging
1698756332,37680,Charging
1698468081,12180,Discharging
1698806074,54000,Discharging
1698806086,54000,Discharging
1698809325,40365,Discharging
1698474743,11985,Discharging
1698737290,40950,Discharging
1698379735,33225,Discharging
1698392836,27630,Discharging
1698670756,54000,Charging
1698738498,40245,Discharging
1698394055,24030,Charging
1698653141,54000,Charging
1698655806,54000,Discharging
1698677028,38265,Charging
1698755487,32460,Charging
1698463588,19605,Discharging
1698734242,44175,Discharging
1698334742,16290,Discharging
1698404688,54000,Discharging
1698681553,54000,Charging
1698677713,41295,Charging
1698408503,34905,Discharging
1698484709,54000,Discharging
1697853710,21780,Discharging
1698486029,44745,Discharging
1697676238,25170,Discharging
1698475446,11835,Charging
1697723525,43920,Discharging
1698372966,10845,Charging
1698755481,32430,Charging
1697853713,21765,Discharging
1697728925,34500,Charging
1698757089,41085,Discharging
1698811661,36735,Discharging
1698487324,54000,Charging
1698658604,42285,Charging
1698727852,54000,Discharging
1698768824,9210,Charging
1698679622,44835,Charging
1698678414,43170,Charging
1698481273,45045,Charging
1698672174,54000,Discharging
1697817061,29205,Discharging
1698754053,23505,Charging
1697808158,40755,Discharging
1698679736,44925,Charging
1698550178,39780,Discharging
1697978543,14025,Discharging
1698677695,41235,Charging
1697986956,5610,Charging
1698754027,23595,Discharging
1697728922,34515,Discharging
1698584575,29835,Discharging
1698481533,45435,Charging
1698545961,43725,Discharging
1697971598,18225,Discharging
1697976727,2865,Charging
1697983022,11955,Discharging
1698327578,36690,Discharging
1698380239,32280,Discharging
1698585749,27480,Discharging
1698334242,16530,Discharging
1698545974,43695,Discharging
1698586808,27420,Discharging
1698027541,39240,Discharging
1698678334,43005,Charging
1698719643,44940,Discharging
1698753205,23655,Discharging
1697715262,11175,Discharging
1697854174,20865,Discharging
1698486488,54000,Charging
1698547119,42060,Discharging
1698065114,44385,Discharging
1698371140,15525,Discharging
1698463740,19575,Discharging
1697850008,28470,Discharging
1697722247,36510,Charging
1698636745,2910,Charging
1698662117,54000,Charging
1698814913,31770,Discharging
1698327543,36900,Discharging
1697986962,5610,Charging
1698438005,34095,Discharging
1698392838,27630,Discharging
1697979428,12405,Discharging
1698039454,37260,Charging
1698027781,39210,Discharging
1698327613,36495,Discharging
1698372942,10875,Discharging
1698671977,54000,Discharging
1697971633,18105,Discharging
1698390872,32025,Discharging
1698752892,24405,Discharging
1698726887,54000,Charging
1698734868,43275,Discharging
1697805942,44580,Discharging
1697718176,10935,Charging
1698485199,54000,Charging
1698739411,40050,Discharging
1698655281,54000,Charging
1698736179,42315,Discharging
1697718157,10890,Charging
1698036578,23310,Discharging
1698037203,23190,Charging
1698752889,24420,Discharging
1698023164,54000,Discharging
1698655808,54000,Discharging
1698739333,40215,Discharging
1698736169,42315,Discharging
